trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.99}",30,0,-128.7993015113907,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",1
2,False,"{'a': 0.4, 'e': 0.9801}",25,0,-170.0292329989131,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.970299}",20,0,-121.50603760487434,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.96059601}",20,0,-210.07312439121424,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.4, 'e': 0.9509900498999999}",25,13,-15.454057482994019,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.4, 'e': 0.941480149401}",20,0,-129.77430285176143,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.4, 'e': 0.9320653479069899}",20,0,-178.1903190864976,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.9227446944279201}",25,0,-204.8179035775838,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
9,False,"{'a': 0.4, 'e': 0.9135172474836408}",20,0,-109.46576596581734,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.9043820750088044}",25,0,-55.476645399990346,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.8953382542587164}",30,0,-197.9996671285403,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.4, 'e': 0.8863848717161292}",30,0,-78.9785294411595,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.8775210229989678}",20,0,-94.11654167272951,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.8687458127689782}",20,0,-96.01889716160949,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.8600583546412884}",30,0,-265.4244187470575,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 5}",0
16,False,"{'a': 0.4, 'e': 0.8514577710948755}",25,0,-107.79579697222927,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.8429431933839268}",25,0,-102.15978707436626,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.4, 'e': 0.8345137614500875}",25,0,-35.53142191526244,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.8261686238355866}",20,8,-45.515311126261054,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.4, 'e': 0.8179069375972308}",20,0,-51.770540855697554,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.4, 'e': 0.8097278682212584}",20,0,-175.38563902057948,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.4, 'e': 0.8016305895390459}",20,0,-138.51047751873176,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.4, 'e': 0.7936142836436554}",20,0,-129.95637489773802,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.4, 'e': 0.7856781408072188}",20,0,-28.091735782111325,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.7778213593991467}",25,7,-81.3172959387483,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
26,False,"{'a': 0.4, 'e': 0.7700431458051551}",20,0,-1.3810487878952296,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.4, 'e': 0.7623427143471035}",20,6,-47.86316705750425,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 0}",1
28,False,"{'a': 0.4, 'e': 0.7547192872036326}",30,5,-69.04128845935301,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
29,False,"{'a': 0.4, 'e': 0.7471720943315961}",20,0,-46.382284164234356,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.7397003733882802}",20,0,-118.51625095847494,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.4, 'e': 0.7323033696543975}",25,0,-230.74231522851144,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 5}",0
32,False,"{'a': 0.4, 'e': 0.7249803359578534}",20,11,-18.206799275175925,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.4, 'e': 0.7177305325982749}",20,0,-24.6689549117348,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.4, 'e': 0.7105532272722921}",25,0,-54.19392151976763,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.4, 'e': 0.7034476949995692}",25,0,-57.25249750616952,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
36,False,"{'a': 0.4, 'e': 0.6964132180495735}",30,7,-19.54689460699675,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.4, 'e': 0.6894490858690777}",20,0,-79.05604965783148,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.4, 'e': 0.682554595010387}",30,0,-7.461587404045233,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.4, 'e': 0.6757290490602831}",20,9,-11.23300186816175,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.4, 'e': 0.6689717585696803}",25,0,-23.763228156939636,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.4, 'e': 0.6622820409839835}",20,0,-98.72507391798071,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.4, 'e': 0.6556592205741436}",25,0,-92.09293157127077,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.6491026283684022}",30,0,9.851865168088855,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.6426116020847181}",20,0,-27.66457131744829,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.4, 'e': 0.6361854860638709}",20,14,-37.23509554377083,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.4, 'e': 0.6298236312032323}",20,4,-7.692092307841274,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.6235253948912}",20,0,-60.10524068794291,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
48,False,"{'a': 0.4, 'e': 0.617290140942288}",25,0,-53.42169001833874,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.4, 'e': 0.611117239532865}",25,2,-63.28497017124507,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
50,False,"{'a': 0.4, 'e': 0.6050060671375364}",25,0,-25.582917446713406,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.4, 'e': 0.598956006466161}",20,0,-160.52581025710828,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
52,False,"{'a': 0.4, 'e': 0.5929664464014994}",20,0,-50.73323954967537,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.4, 'e': 0.5870367819374844}",25,0,-101.45827269865914,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.5811664141181095}",20,7,-27.778143284294,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.4, 'e': 0.5753547499769285}",20,0,-52.787191742107495,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.5696012024771592}",20,0,23.43202908655119,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.4, 'e': 0.5639051904523875}",20,8,15.721885096150618,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.4, 'e': 0.5582661385478637}",20,0,-21.517529222996124,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.4, 'e': 0.5526834771623851}",25,0,-20.18696195523239,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.4, 'e': 0.5471566423907612}",25,0,-82.03612115163288,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.5416850759668536}",35,26,3.4192084062593837,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.536268225207185}",20,0,-12.761432688924131,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
63,False,"{'a': 0.4, 'e': 0.5309055429551132}",25,18,11.655053295205168,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.4, 'e': 0.525596487525562}",20,0,-23.73645162318679,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.5203405226503064}",30,0,-108.69342395679287,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.4, 'e': 0.5151371174238033}",25,6,-78.48452668602377,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
67,False,"{'a': 0.4, 'e': 0.5099857462495653}",20,0,-51.49989059766327,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
68,False,"{'a': 0.4, 'e': 0.5048858887870696}",20,0,-119.41698164198935,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
69,False,"{'a': 0.4, 'e': 0.4998370298991989}",25,17,17.081173338562216,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.49483865960020695}",25,2,-41.59683865231956,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.4, 'e': 0.4898902730042049}",20,10,-3.40396606677018,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.48499137027416284}",25,0,-97.86006008435807,"{0: 15, 1: 4, 2: 2, 3: 4, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.4801414565714212}",25,14,12.65112587313411,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.47534004200570695}",30,13,-34.54855015887281,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.4705866415856499}",25,0,-82.84369984071598,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
76,False,"{'a': 0.4, 'e': 0.46588077516979337}",20,11,7.849898877427613,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.46122196741809546}",30,8,-149.24255440784563,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 3}",1
78,False,"{'a': 0.4, 'e': 0.4566097477439145}",30,16,16.842765434526463,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.4, 'e': 0.45204365026647536}",25,14,-34.783848415465826,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.4, 'e': 0.4475232137638106}",20,9,-79.57181695839458,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 1}",1
81,False,"{'a': 0.4, 'e': 0.4430479816261725}",20,2,-61.933900809185594,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
82,False,"{'a': 0.4, 'e': 0.43861750180991077}",25,9,-24.214035687467028,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.4, 'e': 0.43423132679181164}",25,6,8.63819023772083,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.4298890135238935}",25,0,-131.9369397696567,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
85,False,"{'a': 0.4, 'e': 0.4255901233886546}",25,9,7.055519974530193,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.421334222154768}",20,0,-53.43474347920926,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.4, 'e': 0.41712087993322033}",25,0,-103.36701755693356,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
88,False,"{'a': 0.4, 'e': 0.41294967113388814}",25,2,16.092858628294923,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.40882017442254925}",30,13,-33.419611405736475,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
90,False,"{'a': 0.4, 'e': 0.4047319726783238}",20,0,-36.391344318921284,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.4, 'e': 0.40068465295154054}",25,15,3.5372721580010587,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.3966778064220251}",20,8,-4.327305189340375,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.39271102835780486}",20,13,6.059381259617684,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.3887839180742268}",20,0,6.882706811061677,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.4, 'e': 0.38489607889348454}",20,7,0.9329713594873303,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.4, 'e': 0.38104711810454966}",20,0,-9.659726311037408,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.4, 'e': 0.37723664692350417}",25,10,13.768565483927846,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.37346428045426916}",20,0,-18.613707071491817,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
99,False,"{'a': 0.4, 'e': 0.36972963764972644}",25,9,-8.599104798866456,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.4, 'e': 0.3660323412732292}",25,0,-2.3800860907545696,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
101,False,"{'a': 0.4, 'e': 0.3623720178604969}",20,3,15.742949824376042,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.3587482976818919}",20,0,-21.93043159730325,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.4, 'e': 0.355160814705073}",20,12,11.922072327668644,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.35160920655802225}",30,12,15.549347577168373,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.348093114492442}",25,0,-43.27442899464398,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.4, 'e': 0.3446121833475176}",35,20,14.377009962808971,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.34116606151404244}",20,14,11.594260349063125,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.337754400898902}",25,0,-5.124871336451399,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.4, 'e': 0.334376856889913}",25,6,-2.2415397394846943,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
